id,name,price,quantity
1895,CYLINDER,0,1
1906,PISTON 66.00,0,1
1938,HOSE RADIATOR INLET,0,1
1939,HOSE RADIATOR OUTLET,0,1
1903,HUB CLUTCH,0,2
1682,"WIRING HARNESS, REAR -4S LPG/CNG",0,2
1937,CABLE THROTTLE . ASSY,0,2
1940,FAN ASSY RADIATOR,0,2
1870,REGULATOR CUM RECTIFIER 3,0,3
1925,TCI UNIT LPG / CNG,0,3
1451,COVER DIFFERENTIAL,0,5
1897,GASKET CYL HEAD,0,5
1923,IGNITION COIL ASSY,0,5
1924,SUPRESSOR CAP,0,5
1892,COUNTERSHAFT COMP,0,5
1460,GEAR FINAL DRIVEN  4 STROKE 3 WHEELER,0,5
1932,COVER HANDLE BAR,0,5
1408,"COWL COMP., TOP AIR COOLING",0,5
1144,BUNDY TUBE ASSY FRONT,0,9
1399,GEAR 3 RD DRIVE  3 WHEELER,0,10
1032,SPEEDO DRIVE ASSY,0,10
1029,OILSEAL DIFFERENTIAL,0,10
1143,INSULATOR PAD,0,10
1200,GASKET PIPE INTAKE,0,10
1239,COVER HANDLE BAR BLACK,0,10
1216,HANDLE BAR PULLEY GEAR SHIFT,0,10
1699,TCI UNIT EXP,0,13
1453,CRANK PIN,0,15
1069,GASKET COVER DIFFERENTIAL,0,15
1176,RING GEAR ES,0,15
1057,DISC PRESSURE CLUTCH MC,0,20
1285,CAP OIL FILTER,0,20
1394,"BACK PLATE, AIR COOLOING",0,20
1018,"FOAM COMP FILTER, AIR CLEANER",0,25
1206,BRAKE DRUM,0,30
1061,HUB CLUTCH MC,0,30
1093,BEZEL LH COWL FRONT BLACK,0,30
1099,BEZEL  RH COWL FRONT BLACK,0,30
1072,WIND PROTECTOR,0,30
1490,CYLINDER HEAD ASSY NP.049,0,35
1299,CRANKSHAFT COMP NP.049,0,40
1116,BRAKE LIGHT SWITCH,0,40
1021,DUST SEAL 28 X 42.70 X 8,0,45
1875,COVER AIR Inlet EXP (CNG),0,50
1407,4s GEAR FINAL DRIVE,0,50
1120,GAUGE  OIL LEVEL NP.049,0,50
1013,DUST SEAL 35*46*5,0,50
1889,CAP INSPECTION HOLE,0,50
1916,SUPPRESSOR CAP SHIELDED,0,66
1130,KIT CONNECTING ROD 4,0,70
1328,"Pick up coil / Pulsur coil, magneto ass",0,77
1138,BUNDY TUBE ASSY CENTER,0,80
1073,CUP ENGINE MTG DAMPER,0,80
1131,"SILENT BLOCK, TRAILING ARM REAR",0,100
1090,CSK SCREW M4x10,0,100
1076,SPACER CLUTCH,0,100
1697,HEX NUT M10 8 ZNG,0,100
1841,BULB HEADLAMP,0,120
1053,OILSEAL 18 12 4,0,130
1327,SHIM SQ SPLINE 25x1.2 3 WHEELER,0,150
1059,SPRING BRAKE SWITCH,0,200
1020,SHIM 20X32X1.5,0,200
1010,KNOB M5,0,200
1713,VALVE STEM OIL SEAL,0,210
1007,PLATE CLUTCH DRIVEN  4S,0,240
1048,HEX NUT M10 8 ZNG,0,240
1005,AXLE BOLT,0,300
1122,GUIDE CAMCHAIN,0,300
1671,KIT CYL BLOCK & PISTON 6200,0,300
1006,BELLOW PROPELLOR SHAFT,0,400
1046,BALL RACE ASSY LOWER,0,500
1044,GASKET CYLINDER,0,705
1042,SHOCK ABSORBER ASSY REAR,0,900
1522,Piston Kit Std 4S,0,997
1907,SHOCK  ABSORBER FRONT - Export,0,1000
1660,main spring rear shock absorber assy,0,3000
