id,name,price,quantity
1001,Minor Kit - Wheel Cylinder Kit,35,9251
1002,"FILTER COMP, ENGINE OIL",45,7611
1003,BRAKE SHOE COMP,225,2994
1004,BUFFER ENGINE SIDE PROPELLER SHAFT,20,825
1005,AXLE BOLT,20,809
1006,BELLOW PROPELLOR SHAFT,110,3386
1007,PLATE CLUTCH DRIVEN  4S,90,754
1008,BUFFER  WHEELSIDE PROPELLER SHAFT,20,825
1009,SLIDER BLOCK,70,790
1010,KNOB M5,20,405
1011,PLATE CLUTCH DRIVE - TYPE A,525,305
1012,NEEDLE BEARING (Big) 35 x 43 x 24,305,509
1013,DUST SEAL 35*46*5,50,795
1014,SPRING CLUTCH,45,90
1015,Minor Kit (Tandom master cylinder),545,295
1016,SPARK PLUG 4S Without Ferrul,165,8486
1017,SPEEDO CABLE ASSY (NEW),315,853
1018,"FOAM COMP FILTER, AIR CLEANER",200,454
1019,CABLE ASSY CLUTCH (R),490,1462
1020,SHIM 20X32X1.5,20,1185
1021,DUST SEAL 28 X 42.70 X 8,45,355
1022,DAMPER ENGINE MTG FRONT,50,230
1023,GASKET COVER CRANK CASE-R,70,1005
1024,SPEEDO CABLE INNER(New 1016mm),75,1380
1025,BALL BEARING 20x42x12,265,285
1026,PIVOT PIN FRONT KIT,625,766
1027,CABLE ASSY  BLACK  GEARSHIFT,325,2195
1028,CABLE ASSY WHITE  GEARSHIFT,320,2137
1029,OILSEAL DIFFERENTIAL,135,380
1030,CABLE INNER CLUTCH,80,541
1031,STEERING CONE KIT TOP (Modified),465,746
1032,SPEEDO DRIVE ASSY,260,97
1033,PIN PARKING BRAKE,15,0
1034,PARKING BRAKE CABLE ASSY,770,63
1035,BUSH SHOCK ABSORBER,45,50
1036,STEERING CONE KIT BOT,645,673
1037,SPRING BRAKE SHOE RETURN TOP,45,265
1038,SPRING BRAKE SHOE RETURN,10,834
1039,PLATE CLUTCH DRIVE JUDDER - TYPE B,475,185
1040,DAMPER HANDLE BAR Modified,120,40
1041,PLATE CLUTCH DRIVE - TYPE C,525,258
1042,SHOCK ABSORBER ASSY REAR,1215,3994
1043,SHIM 15X21X0.3,5,140
1044,GASKET CYLINDER,10,5748
1045,PIN PROPELLOR SHAFT,80,463
1046,BALL RACE ASSY LOWER,45,3530
1047,LOCK WASHER BRAKE SHOE,5,527
1048,HEX NUT M10 8 ZNG,10,983
1049,KIT CYLINDER & PISTON - Export,4835,40
1050,RELAY STARTER MOTOR,370,239
1051,HEX NUT M10 x 1.5,10,50
1052,STRUT COMP PARKING BRAKE,35,200
1053,OILSEAL 18 12 4,35,1220
1054,ROLLER CHAIN 86 LINK,210,1747
1055,LEVER PARKING BRAKE,45,103
1056,WHEEL CYLINDER ASSY,580,60
1057,DISC PRESSURE CLUTCH MC,410,800
