id,name,price,quantity
1299,CRANKSHAFT COMP NP.049,0,35
1502,NEEDLE CAGE CRANKPIN 30X38X18,0,20
1485,GEAR COMP REVERSE DRIVEN,0,5
1450,ARM STOPPER REVERSE,0,20
1131,"SILENT BLOCK, TRAILING ARM REAR",0,100
1042,SHOCK ABSORBER ASSY REAR,0,200
1056,WHEEL CYLINDER ASSY,0,10
1206,BRAKE DRUM,0,10
1005,AXLE BOLT,0,200
1032,SPEEDO DRIVE ASSY,0,19
1001,Minor Kit - Wheel Cylinder Kit,0,19997
1046,BALL RACE ASSY LOWER,0,10
1116,BRAKE LIGHT SWITCH,0,49
1059,SPRING BRAKE SWITCH,0,200
1022,DAMPER ENGINE MTG FRONT,0,200
1073,CUP ENGINE MTG DAMPER,0,100
1029,OILSEAL DIFFERENTIAL,0,10
1090,CSK SCREW M4x10,0,200
1020,SHIM 20X32X1.5,0,50
1660,main spring rear shock absorber assy,0,1500
1451,COVER DIFFERENTIAL,0,5
1328,"Pick up coil / Pulsur coil, magneto ass",0,100
1434,GEAR 2ND DRIVE 3 WHEELER,0,10
1597,AT LOCK NUT STEERING COLLUM,0,6
1649,HT TOOLS DOG DRIVER & MUFF CUP,0,9
1122,GUIDE CAMCHAIN,0,200
1490,CYLINDER HEAD ASSY NP.049,0,35
1919,COVER CYLINDER HEAD,0,1
1896,CYLINDER HEAD ASSY,0,2
1897,GASKET CYL HEAD,0,10
1920,GASKET CYLINDER,0,9
1906,PISTON 66.00,0,1
1018,"FOAM COMP FILTER, AIR CLEANER",0,20
1143,INSULATOR PAD,0,15
1200,GASKET PIPE INTAKE,0,30
1921,CARBURETTOR LPG / CNG,0,2
1922,MAGNETO ASSY 3,0,1
1870,REGULATOR CUM RECTIFIER 3,0,10
1699,TCI UNIT EXP,0,10
1923,IGNITION COIL ASSY,0,5
1924,SUPRESSOR CAP,0,10
1925,TCI UNIT LPG / CNG,0,3
1076,SPACER CLUTCH,0,100
1007,PLATE CLUTCH DRIVEN 4S,0,300
1926,CENTER ASSY MANUAL,0,1
1927,GEAR ASSY PRIMARY DRIVEN,0,1
1460,GEAR FINAL DRIVEN 4 STROKE 3 WHEELER,0,5
1285,CAP OIL FILTER,0,30
1002,"FILTER COMP, ENGINE OIL",0,9998
1232,WASHER PULLEY GEARSHIFT,0,100
1120,GAUGE OIL LEVEL NP.049,0,100
1928,GEAR 4TH DRIVE,0,2
1929,GEAR 4TH DRIVEN,0,2
1930,COUNTER SHAFT ASSY,0,1
1907,SHOCK ABSORBER FRONT,0,1000
1931,HANDLE BAR,0,1
1932,COVER HANDLE BAR,0,5
1933,PULLEY THROTTLE,0,5
1682,"WIRING HARNESS, REAR -4S LPG/CNG",0,4
1934,FRONT WIRINGHARNES LPG - 4S,0,3
1935,REAR WIRINGHARNES LPG - 4S,0,3
1937,CABLE THROTTLE . ASSY,0,5
1886,CABLE SPEEDO ASSY,0,5
1408,"COWL COMP., TOP AIR COOLING",0,10
1394,"BACK PLATE, AIR COOLOING",0,30
1938,HOSE RADIATOR INLET,0,2
1939,HOSE RADIATOR OUTLET,0,2
1940,FAN ASSY RADIATOR,0,1
1185,NEEDLE ROLLER BEARING 18X24X14,0,50
1522,Piston Kit Std 4S,0,1500
1130,KIT CONNECTING ROD 4,0,100
1941,WASHER SEALING(V),0,100
1671,KIT CYL BLOCK & PISTON 6200,0,100
