id,name,price,quantity
1199,KEY  PRM DRN GR,0,20
1299,CRANKSHAFT COMP NP.049,0,100
1259,SWITCH ASSY GEAR POSITION,0,10
1399,GEAR 3 RD DRIVE    3 WHEELER,0,15
1400,GEAR 4TH DRIVE 3 WHEELER,0,15
1485,GEAR COMP REVERSE DRIVEN,0,5
1006,BELLOW PROPELLOR SHAFT,0,300
1324,RETAINER ARM REVERSE,0,10
1260,PIN,0,20
1131,"SILENT BLOCK, TRAILING ARM REAR",0,120
1042,SHOCK ABSORBER ASSY REAR,0,1048
1340,3 WAY UNION,0,30
1206,BRAKE DRUM,0,24
1005,AXLE BOLT,0,100
1032,SPEEDO DRIVE ASSY,0,10
1138,BUNDY TUBE ASSY CENTER,0,150
1110,BUNDY TUBE ASSY  REAR,0,400
1001,Minor Kit - Wheel Cylinder Kit,0,12998
1046,BALL RACE ASSY LOWER,0,800
1116,BRAKE LIGHT SWITCH,0,10
1059,SPRING BRAKE SWITCH,0,300
1022,DAMPER ENGINE MTG FRONT,0,20
1317,CIRCLIP 25x1.2   3 WHEELER,0,590
1029,OILSEAL DIFFERENTIAL,0,10
1020,SHIM 20X32X1.5,0,340
1012,NEEDLE BEARING (Big) 35 x 43 x 24,0,29
1327,SHIM SQ SPLINE 25x1.2 3 WHEELER,0,100
1318,SPRING THROTTLE,0,10
1451,COVER DIFFERENTIAL,0,10
1811,FLANGE INLET COMP CNG,0,2
1328,"Pick up coil / Pulsur coil, magneto ass",0,900
1488,SHAFT FORK SHIFT LOW SPEED,0,5
1312,GEAR SHIFT SHAFT,0,20
1226,ENGINE PULLEY GEAR SHIFT,0,49
1434,GEAR 2ND DRIVE 3 WHEELER,0,49
1176,RING GEAR ES,0,25
1144,BUNDY TUBE ASSY FRONT,0,50
1135,DUST SEAL 18x27x6,0,10
1122,GUIDE CAMCHAIN,0,999
1044,GASKET CYLINDER,0,300
1490,CYLINDER HEAD ASSY NP.049,0,80
1896,CYLINDER HEAD ASSY,0,3
1677,SPARK PLUG 4S With Ferrul,0,2990
1897,GASKET CYL HEAD,0,30
1920,GASKET CYLINDER,0,35
1895,CYLINDER,0,7
1906,PISTON 66.00,0,20
1348,FLAME TRAP COMP,0,19
1458,FLANGE INLET COMP,0,3
1200,GASKET PIPE INTAKE,0,50
1459,PIPE COMP SAI NP.049,0,10
1875,COVER AIR Inlet EXP (CNG),0,200
1706,PIPE COMP SAI,0,10
1870,REGULATOR CUM RECTIFIER 3,0,12
1076,SPACER CLUTCH,0,20
1057,DISC PRESSURE CLUTCH MC,0,20
1007,PLATE CLUTCH DRIVEN  4S,0,72
1082,OILPUMP ASSY,0,10
1518,GEAR PRIMARY DRIVE  4S - 24 TEETH,0,4
1460,GEAR FINAL DRIVEN  4 STROKE 3 WHEELER,0,12
1285,CAP OIL FILTER,0,9
1002,"FILTER COMP, ENGINE OIL",0,1698
1232,WASHER PULLEY GEARSHIFT,0,100
1120,GAUGE  OIL LEVEL NP.049,0,50
1838,SPRING GEARSHIFT CAM STOPPER,0,10
1907,SHOCK  ABSORBER FRONT - Export,0,400
1886,CABLE SPEEDO ASSY,0,15
1949,CABLE SPEEDO INNER,0,20
1408,"COWL COMP., TOP AIR COOLING",0,15
1394,"BACK PLATE, AIR COOLOING",0,50
1966,BRKT STARTER MOTOR,0,30
1962,RADIATOR,0,5
1809,Fan - New - N49,0,10
1893,Cowl Lh Assy - N49 - New Air Cooling(HP),0,20
1185,NEEDLE ROLLER BEARING 18X24X14,0,30
1053,OILSEAL 18 12 4,0,300
1628,DELUXE STICKER - LH,0,40
1629,DELUXE STICKER - RH,0,40
1522,Piston Kit Std 4S,0,7000
1375,Piston Kit 1st O/S 4S,0,2120
1524,Piston Kit 2nd O/S 4S,0,399
1112,KIT ENGINE OILSEAL-4S,0,50
1130,KIT CONNECTING ROD 4,0,50
1904,KIT MASTER CYLINDER MINOR,0,49
1671,KIT CYL BLOCK & PISTON 6200,0,180
1916,SUPPRESSOR CAP SHIELDED,0,29
1093,BEZEL LH COWL FRONT BLACK,0,30
1099,BEZEL  RH COWL FRONT BLACK,0,30
1124,GRILL  ASSY BLACK,0,30
1010,KNOB M5,0,300
1239,COVER HANDLE BAR BLACK,0,70
1216,HANDLE BAR PULLEY GEAR SHIFT,0,27
1229,CLAMP WIRING HARNESS,0,10
1115,LOCK WASHER 38.5 DIA,0,100
1967,GRIP,0,10
1225,Allen Screw M5X35,0,10
1021,DUST SEAL 28 X 42.70 X 8,0,50
1013,DUST SEAL 35*46*5,0,100
1072,WIND PROTECTOR,0,45
1266,LID DASHBOARD BLACK,0,50
1473,HINGE PLATE LID,0,50
1373,SPEAKER GRILL LH BLACK,0,40
1474,REAR MUDGAURD LH,0,5
1064,HeadTubecover,0,49
1030,CABLE INNER CLUTCH,0,20
1217,LOCK ASSY TAIL DOOR,0,5
1963,MIRROR ASSY LH,0,10
1964,MIRROR ASSY RH,0,10
1885,BOLT CHAIN TENSIONER (RC),0,30
1756,GUIDE VALVE,0,10
1968,O-RING 52.6x2.4,0,10
1873,HEX FLANGE BOLT M6x35,0,20
1902,HEX FLANGE NUT M12x1.25,0,10
1692,PLUG CYLINDER HEAD,0,40
1776,SHAFT SHIFT FORK,0,6
1713,VALVE STEM OIL SEAL,0,700
1909,TEMPERATURE SENSOR ENGINE,0,20
1048,HEX NUT M10 8 ZNG,0,50
1889,CAP INSPECTION HOLE,0,300
1891,COTTER VALVE,0,20
1841,BULB HEADLAMP,0,99
1311,SPRING NEUTRAL SWITCH,0,100
