id,name,price,quantity
1042,SHOCK ABSORBER ASSY REAR,0,2
1206,BRAKE DRUM,0,1
1001,Minor Kit - Wheel Cylinder Kit,0,2
1317,CIRCLIP 25x1.2   3 WHEELER,0,10
1020,SHIM 20X32X1.5,0,10
1012,NEEDLE BEARING (Big) 35 x 43 x 24,0,1
1226,ENGINE PULLEY GEAR SHIFT,0,1
1434,GEAR 2ND DRIVE 3 WHEELER,0,1
1122,GUIDE CAMCHAIN,0,1
1677,SPARK PLUG 4S With Ferrul,0,10
1285,CAP OIL FILTER,0,1
1002,"FILTER COMP, ENGINE OIL",0,2
1524,Piston Kit 2nd O/S 4S,0,1
1904,KIT MASTER CYLINDER MINOR,0,1
1916,SUPPRESSOR CAP SHIELDED,0,1
1064,HeadTubecover,0,1
1841,BULB HEADLAMP,0,1
